participante;nomeParticipante;tipoParticipante;dataHoraInicioOperacao
02338666;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDIEMBRAPA LTDA - SICOOB.;IDRT;2020-11-03T09:30:00.000Z
02382755;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERV DA SEC DE E DA SEG PUB E DA DEFESA SOCIAL DO E DO RN E DOS TRAB SINDICALIZADOS DA AREA DE SAUDE E AFINS NA REG MET DE NATAL - SICOOB POTIGUAR;IDRT;2020-11-03T09:30:00.000Z
02398976;UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;DRCT;2020-11-03T09:30:00.000Z
02405189;COOPERATIVA DE CRÉDITO DA GRANDE FLORIANÓPOLIS - ÚNILOS;IDRT;2020-11-03T09:30:00.000Z
02414044;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS INSTITUIÇÕES DE ENSINO SUPERIOR DO SUL DE MINAS LTDA. - CREDFENAS;IDRT;2020-11-03T09:30:00.000Z
02446089;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS PINHAIS - CRESOL UNIÃO DOS PINHAIS;IDRT;2020-11-03T09:30:00.000Z
02447120;COOPERATIVA DE CRÉDITO TEIXEIRA DE FREITAS LTDA. – SICOOB EXTREMO SUL;IDRT;2020-11-03T09:30:00.000Z
02448310;COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA PROGRESSO - CRESOL PROGRESSO;IDRT;2020-11-03T09:30:00.000Z
02448839;COOPERATIVA DE CRÉDITO DE RIO RUFINO - SICOOB CREDIUNIÃO;IDRT;2020-11-03T09:30:00.000Z
02466552;COOPERATIVA DE CRÉDITO SICOOB VALE SUL;IDRT;2020-11-03T09:30:00.000Z
02480577;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS ADVOGADOS LTDA. - SICOOB CREDIJUR;IDRT;2020-11-03T09:30:00.000Z
02493000;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO NOS ESTADOS DE ALAGOAS, SERGIPE E BAHIA - SICOOB LESTE;IDRT;2020-11-03T09:30:00.000Z
02528151;COOPERATIVA DE CRÉDITO SICOOB CREDCOOP LTDA.;IDRT;2020-11-03T09:30:00.000Z
02587492;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS URUBICI - SICOOB CREDIARAUCÁRIA/SC;IDRT;2020-11-03T09:30:00.000Z
02602922;COOPERATIVA DE CRÉDITO DOS MÉDICOS, SERVIDORES PÚBLICOS E EMPRESÁRIOS DO NORDESTE LTDA - UNICRED DO NORDESTE;IDRT;2020-11-03T09:30:00.000Z
02641032;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PONTO CAPITAL - UNICRED PONTO CAPITAL.;IDRT;2020-11-03T09:30:00.000Z
02641969;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO SICOOB TRENTOCREDI SC;IDRT;2020-11-03T09:30:00.000Z
02663426;COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CONSTANTINA - CRESOL CONSTANTINA.;IDRT;2020-11-03T09:30:00.000Z
02674113;COOPERATIVA DE CRÉDITO DE SERVIDORES PÚBLICOS COOPERPLAN LTDA. - SICOOB COOPERPLAN;IDRT;2020-11-03T09:30:00.000Z
02766672;COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SAO JOAQUIM-CRESOL SÃO JOAQUIM;IDRT;2020-11-03T09:30:00.000Z
02794761;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DE VIÇOSA LTDA. - SICOOB UFVCREDI;IDRT;2020-11-03T09:30:00.000Z
02833202;COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DE VITÓRIA DA CONQUISTA;IDRT;2020-11-03T09:30:00.000Z
02843443;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;IDRT;2020-11-03T09:30:00.000Z
